System,Latency_ms,Modalities_Used,Query_Length
vector_only,184.25941467285156,1,14
fixed_rrf,410.18104553222656,3,14
qalf,416.46695137023926,3,14
vector_only,52.71291732788086,1,12
fixed_rrf,423.75731468200684,3,12
qalf,438.4586811065674,3,12
vector_only,13.990640640258789,1,10
fixed_rrf,396.1029052734375,3,10
qalf,419.74830627441406,3,10
vector_only,15.026569366455078,1,14
fixed_rrf,9744.915246963501,3,14
qalf,9973.790645599365,3,14
vector_only,15.517950057983398,1,8
fixed_rrf,406.89587593078613,3,8
qalf,409.5637798309326,3,8
vector_only,13.104915618896484,1,15
fixed_rrf,400.6044864654541,3,15
qalf,417.3879623413086,3,15
vector_only,14.040946960449219,1,16
fixed_rrf,404.24275398254395,3,16
qalf,416.5308475494385,3,16
vector_only,13.516426086425781,1,10
fixed_rrf,406.79264068603516,3,10
qalf,434.9851608276367,3,10
vector_only,13.504505157470703,1,16
fixed_rrf,1812.7202987670898,3,16
qalf,2063.0788803100586,3,16
vector_only,14.557123184204102,1,13
fixed_rrf,9733.489751815796,3,13
qalf,9801.481246948242,3,13
